# Allocations	Memory	CPU Time	Min	Max
10000	1867776	0.010000	0.010000	0.010000
20000	3784704	0.100000	0.100000	0.100000
30000	5668864	0.300000	0.290000	0.300000
40000	7553024	0.590000	0.590000	0.590000
50000	9469952	0.970000	0.960000	0.970000
60000	11337728	1.430000	1.410000	1.490000
70000	13221888	2.160000	1.950000	2.230000
80000	15089664	2.560000	2.560000	2.570000
90000	16941056	3.250000	3.250000	3.260000
100000	18776064	4.040000	4.040000	4.220000
110000	20660224	4.860000	4.850000	4.870000
120000	22495232	5.830000	5.830000	5.840000
130000	24395776	6.870000	6.870000	7.020000
140000	26263552	7.980000	7.970000	8.070000
150000	28180480	9.170000	9.170000	9.170000
160000	30097408	10.400000	10.400000	10.410000
170000	31981568	11.760000	11.750000	11.830000
180000	33882112	13.160000	13.150000	13.340000
190000	35782656	14.660000	14.650000	14.670000
200000	37650432	16.290000	16.290000	16.300000
210000	39567360	17.960000	17.960000	17.970000
220000	41418752	19.730000	19.720000	19.930000
230000	43302912	21.610000	21.600000	21.830000
240000	45203456	23.540000	23.540000	23.550000
250000	47104000	25.590000	25.580000	25.780000
