# Allocations	Memory	CPU Time	Min	Max
10000	2408448	0.070000	0.070000	0.070000
20000	2408448	0.090000	0.090000	0.100000
30000	2408448	0.110000	0.110000	0.120000
40000	2408448	0.140000	0.130000	0.140000
50000	2408448	0.160000	0.160000	0.170000
60000	2408448	0.180000	0.180000	0.190000
70000	2408448	0.210000	0.200000	0.210000
80000	2408448	0.230000	0.220000	0.230000
90000	2408448	0.250000	0.240000	0.260000
100000	2408448	0.270000	0.270000	0.280000
110000	2408448	0.290000	0.290000	0.300000
120000	2408448	0.320000	0.310000	0.330000
130000	2408448	0.340000	0.330000	0.360000
140000	2408448	0.360000	0.360000	0.370000
150000	2408448	0.380000	0.380000	0.400000
160000	2408448	0.400000	0.390000	0.420000
170000	2408448	0.420000	0.420000	0.450000
180000	2408448	0.450000	0.440000	0.470000
190000	2408448	0.470000	0.470000	0.490000
200000	2408448	0.490000	0.480000	0.510000
210000	2408448	0.520000	0.510000	0.540000
220000	2408448	0.530000	0.520000	0.560000
230000	2408448	0.560000	0.550000	0.580000
240000	2408448	0.580000	0.570000	0.600000
250000	2408448	0.600000	0.600000	0.630000
