# Allocations	Memory	CPU Time	Min	Max
10000	10469376	0.030000	0.030000	0.040000
20000	20922368	0.120000	0.120000	0.120000
30000	31358976	0.240000	0.240000	0.250000
40000	41861120	0.410000	0.410000	0.410000
50000	52281344	0.630000	0.620000	0.650000
60000	62832640	0.890000	0.890000	0.900000
70000	73220096	1.190000	1.180000	1.190000
80000	83656704	1.520000	1.520000	1.530000
90000	94191616	1.890000	1.880000	1.900000
100000	104710144	2.310000	2.300000	2.310000
110000	115245056	2.780000	2.750000	2.790000
120000	125665280	3.290000	3.270000	3.290000
130000	136167424	3.820000	3.800000	3.830000
140000	146653184	4.430000	4.400000	4.440000
150000	157024256	5.070000	5.060000	5.100000
160000	167477248	5.750000	5.740000	5.760000
170000	177995776	6.480000	6.450000	6.490000
180000	188563456	7.240000	7.210000	7.260000
190000	199000064	8.020000	8.010000	8.180000
200000	209534976	8.870000	8.850000	8.880000
210000	219922432	9.710000	9.700000	9.750000
220000	230342656	10.620000	10.590000	10.670000
230000	240861184	11.550000	11.540000	11.610000
240000	251346944	12.550000	12.500000	12.600000
250000	261832704	13.550000	13.510000	13.570000
